Feature,Importance,FeatureName
f457,712.0,6_totalGold
f636,711.0,9_runeOffense
f502,706.0,7_damageStats_totalDamageDoneToChampions
f560,702.0,8_damageStats_totalDamageDoneToChampions
f270,697.0,3_damageStats_totalDamageDoneToChampions
f309,689.0,4_championStats_lifesteal
f162,684.0,1_minionsKilled
f634,680.0,9_runeDefense
f210,677.0,2_damageStats_physicalDamageTaken
f597,672.0,9_championStats_healthMax
f481,670.0,7_championStats_healthMax
f655,669.0,10_championStats_healthMax
f296,664.0,4_championStats_abilityPower
f283,662.0,3_totalGold
f631,662.0,9_totalGold
f167,657.0,1_totalGold
f599,656.0,9_championStats_lifesteal
f508,651.0,7_jungleMinionsKilled
f573,647.0,8_totalGold
f618,647.0,9_damageStats_totalDamageDoneToChampions
f365,638.0,5_championStats_healthMax
f616,629.0,9_damageStats_physicalDamageTaken
f515,624.0,7_totalGold
f278,621.0,3_minionsKilled
f307,613.0,4_championStats_healthMax
f587,609.0,9_championStats_armor
f399,607.0,5_totalGold
f211,603.0,2_damageStats_totalDamageDone
f602,599.0,9_championStats_magicResist
f586,597.0,9_championStats_abilityPower
f297,581.0,4_championStats_armor
f153,577.0,1_damageStats_totalDamageDone
f568,576.0,8_minionsKilled
f689,560.0,10_totalGold
f155,559.0,1_damageStats_totalDamageTaken
f452,556.0,6_minionsKilled
f271,546.0,3_damageStats_totalDamageTaken
f387,532.0,5_damageStats_totalDamageTaken
f160,529.0,1_jungleMinionsKilled
f443,502.0,6_damageStats_totalDamageDone
f677,495.0,10_damageStats_totalDamageTaken
f256,490.0,3_championStats_omnivamp
f501,483.0,7_damageStats_totalDamageDone
f561,483.0,8_damageStats_totalDamageTaken
f617,478.0,9_damageStats_totalDamageDone
f500,476.0,7_damageStats_physicalDamageTaken
f269,472.0,3_damageStats_totalDamageDone
f445,446.0,6_damageStats_totalDamageTaken
f135,444.0,1_championStats_lifesteal
f327,442.0,4_damageStats_totalDamageDone
f336,434.0,4_minionsKilled
f626,433.0,9_minionsKilled
f287,430.0,3_runeFlex
f125,424.0,1_championStats_armorPenPercent
f329,424.0,4_damageStats_totalDamageTaken
f559,413.0,8_damageStats_totalDamageDone
f450,399.0,6_jungleMinionsKilled
f226,397.0,2_xp
f546,397.0,8_championStats_omnivamp
f276,394.0,3_jungleMinionsKilled
f168,392.0,1_xp
f516,389.0,7_xp
f619,389.0,9_damageStats_totalDamageTaken
f252,387.0,3_championStats_magicPen
f213,367.0,2_damageStats_totalDamageTaken
f425,366.0,6_championStats_lifesteal
f577,363.0,8_runeFlex
f566,362.0,8_jungleMinionsKilled
f542,359.0,8_championStats_magicPen
f574,352.0,8_xp
f400,350.0,5_xp
f458,346.0,6_xp
f334,334.0,4_jungleMinionsKilled
f594,308.0,9_championStats_ccReduction
f690,307.0,10_xp
f304,306.0,4_championStats_ccReduction
f284,301.0,3_xp
f503,300.0,7_damageStats_totalDamageTaken
f229,295.0,2_runeFlex
f632,285.0,9_xp
f624,280.0,9_jungleMinionsKilled
f342,271.0,4_xp
f415,263.0,6_championStats_armorPenPercent
f194,256.0,2_championStats_magicPen
f251,252.0,3_championStats_lifesteal
f541,235.0,8_championStats_lifesteal
f484,225.0,7_championStats_magicPen
f519,212.0,7_runeFlex
f120,185.0,itemId
f136,152.0,1_championStats_magicPen
f198,139.0,2_championStats_omnivamp
f488,128.0,7_championStats_omnivamp
f392,124.0,5_jungleMinionsKilled
f193,115.0,2_championStats_lifesteal
f391,113.0,5_goldPerSecond
f681,108.0,10_goldPerSecond
f183,107.0,2_championStats_armorPenPercent
f682,107.0,10_jungleMinionsKilled
f426,106.0,6_championStats_magicPen
f483,102.0,7_championStats_lifesteal
f161,101.0,1_level
f473,95.0,7_championStats_armorPenPercent
f137,89.0,1_championStats_magicPenPercent
f159,87.0,1_goldPerSecond
f427,87.0,6_championStats_magicPenPercent
f345,84.0,4_runeFlex
f275,82.0,3_goldPerSecond
f241,79.0,3_championStats_armorPenPercent
f333,77.0,4_goldPerSecond
f509,70.0,7_level
f623,69.0,9_goldPerSecond
f451,68.0,6_level
f635,68.0,9_runeFlex
f589,64.0,9_championStats_armorPenPercent
f219,62.0,2_level
f531,57.0,8_championStats_armorPenPercent
f299,56.0,4_championStats_armorPenPercent
f565,54.0,8_goldPerSecond
f368,52.0,5_championStats_magicPen
f658,52.0,10_championStats_magicPen
f683,51.0,10_level
f277,50.0,3_level
f567,48.0,8_level
f600,47.0,9_championStats_magicPen
f46,46.0,level
f195,46.0,2_championStats_magicPenPercent
f393,45.0,5_level
f310,43.0,4_championStats_magicPen
f217,40.0,2_goldPerSecond
f485,39.0,7_championStats_magicPenPercent
f625,37.0,9_level
f449,35.0,6_goldPerSecond
f335,34.0,4_level
f92,30.0,type_ITEM_PURCHASED
f70,29.0,position_x
f543,28.0,8_championStats_magicPenPercent
f48,26.0,levelUpType_NORMAL
f102,25.0,type_WARD_PLACED
f253,25.0,3_championStats_magicPenPercent
f507,25.0,7_goldPerSecond
f657,23.0,10_championStats_lifesteal
f91,22.0,type_ITEM_DESTROYED
f372,21.0,5_championStats_omnivamp
f71,20.0,position_y
f601,16.0,9_championStats_magicPenPercent
f311,14.0,4_championStats_magicPenPercent
f62,13.0,participantId_2.0
f99,13.0,type_SKILL_LEVEL_UP
f367,13.0,5_championStats_lifesteal
f647,13.0,10_championStats_armorPenPercent
f61,11.0,participantId_10.0
f64,11.0,participantId_4.0
f73,11.0,skillSlot_1.0
f493,11.0,7_championStats_spellVamp
f66,10.0,participantId_6.0
f118,10.0,wardType_YELLOW_TRINKET
f357,10.0,5_championStats_armorPenPercent
f65,9.0,participantId_5.0
